,group_from_hypermodel_param_names,group_from_model_param_names
131,J2043+1711_L-wide_ASP_log10_equad,J2043+1711_L-wide_ASP_log10_equad
132,J2043+1711_L-wide_PUPPI_log10_equad,J2043+1711_L-wide_PUPPI_log10_equad
133,-,-
134,J2043+1711_430_ASP_log10_ecorr,J2043+1711_430_ASP_log10_ecorr
135,J2043+1711_430_PUPPI_log10_ecorr,J2043+1711_430_PUPPI_log10_ecorr
136,J2043+1711_L-wide_ASP_log10_ecorr,J2043+1711_L-wide_ASP_log10_ecorr
137,J2043+1711_L-wide_PUPPI_log10_ecorr,J2043+1711_L-wide_PUPPI_log10_ecorr
138,-,-
139,nmodel,nmodel
140,-,-
